,_url,birth_year,height,avg_pos,num_races
260,maxim-belkov,1985,184.0,98.5451263537906,277
261,angel-gomez-gomez,1981,183.0,55.85552407932011,353
262,andrea-peron-1,1971,183.0,64.7704081632653,196
263,eric-baumann,1980,177.0,95.04676258992804,278
265,matthew-stephens,1970,182.0,31.94797687861272,519
266,loe-van-belle,2002,184.0,52.49240121580547,329
267,leonardo-scarselli,1975,180.0,40.79674796747968,369
269,lukas-ruegg,1996,177.0,76.90680100755668,397
272,ethan-hayter,1998,180.0,68.36906854130052,569
273,sander-armee,1985,190.0,38.9954954954955,444
274,angelo-pagani,1988,176.0,35.18543046357616,302
275,tom-stamsnijder,1985,191.0,54.73712737127372,369
277,antonio-angulo,1992,175.0,76.78947368421052,418
278,justin-jules,1986,167.0,84.30232558139535,86
279,jan-polanc,1992,172.0,93.38493723849372,239
280,ciaran-power,1976,184.0,85.1082474226804,194
281,jenthe-biermans,1995,184.0,104.76348547717842,241
282,sergey-klimov,1980,183.0,67.37714285714286,175
285,jean-patrick-nazon,1977,182.0,88.7233676975945,582
288,robin-chaigneau,1988,185.0,88.09604519774011,177
289,davide-baldaccini,1998,176.0,58.0990990990991,333
291,arnoud-van-groen,1983,183.0,77.88739946380697,373
292,damiano-caruso,1987,179.0,66.33823529411765,340
293,anthony-jullien,1998,178.0,49.241975308641976,405
294,johan-museeuw,1965,184.0,74.6025,400
295,massimo-donati,1967,186.0,57.36772983114447,533
297,elie-gesbert,1995,181.0,83.35915492957747,142
300,manuele-boaro,1987,173.0,29.12690355329949,394
301,tobias-steinhauser,1972,188.0,58.40531561461794,301
302,ruben-apers,1998,179.0,41.35607675906184,469
303,yuriy-krivtsov,1979,178.0,42.02475247524752,606
304,peter-luttenberger,1972,173.0,63.325581395348834,430
305,stanislaw-aniolkowski,1997,181.0,60.0719298245614,570
306,marco-tizza,1992,173.0,48.77171215880893,403
307,fabien-patanchon,1983,179.0,93.85016286644952,307
308,thierry-bourguignon,1962,185.0,80.45609065155807,353
309,mark-mcnally,1989,186.0,58.78915662650602,166
310,victor-koretzky,1994,180.0,99.03125,64
311,matus-stocek,1999,190.0,56.91189427312775,227
314,johann-lienhart,1960,173.0,75.06569343065694,137
315,martin-pedersen,1983,170.0,53.06040268456376,149
316,innar-mandoja,1978,175.0,57.23753665689149,341
317,matteo-spreafico,1993,184.0,42.17433414043583,413
318,warren-barguil,1991,183.0,50.45177664974619,394
320,andrei-kunitski,1984,176.0,55.09345794392523,321
322,timon-seubert,1987,183.0,96.0253456221198,434
325,alexey-tsatevich,1989,169.0,74.27570093457943,428
326,louis-bendixen,1995,190.0,80.602787456446,287
327,thomas-frei,1985,178.0,53.56102362204725,508
328,aidis-kruopis,1986,184.0,70.1598272138229,463
329,matthias-brandle,1989,190.0,99.18666666666668,75
331,dawid-krupa,1980,181.0,88.33910034602076,289
332,david-canada,1975,176.0,96.18819188191884,271
333,kenny-molly,1996,171.0,61.32631578947368,190
335,cyril-lemoine,1983,182.0,89.2,5
336,benat-intxausti,1986,175.0,70.89767441860465,215
337,chris-peers,1970,184.0,57.36153846153846,130
338,sergei-ivanov,1975,180.0,73.6282722513089,191
339,massimo-codol,1973,178.0,60.89855072463768,414
340,florian-lipowitz,2000,181.0,79.7051282051282,78
341,giuseppe-palumbo,1975,173.0,86.9390243902439,246
342,kevin-ledanois,1993,181.0,56.515625,192
343,tim-kerkhof,1993,190.0,85.23913043478261,46
344,matteo-priamo,1982,182.0,99.5846153846154,65
345,sylvain-georges,1984,181.0,95.1605504587156,436
346,jean-cyril-robin,1969,180.0,94.47685185185183,216
347,christian-pfannberger,1979,177.0,64.19526627218934,169
348,domingos-goncalves,1989,184.0,46.73659673659674,429
350,richard-virenque,1969,179.0,38.9954954954955,444
351,bruno-manuel-silva-pires,1981,174.0,47.21016949152543,590
352,fabio-jakobsen,1996,181.0,31.94797687861272,519
353,alex-aranburu,1995,178.0,50.51592356687898,628
355,radoslav-rogina,1979,186.0,54.36293436293436,518
356,pierre-henri-lecuisinier,1993,176.0,59.11180124223603,161
357,roland-meier,1967,176.0,88.45794392523365,214
360,matteo-moschetti,1996,180.0,57.36772983114447,533
361,nils-politt,1994,192.0,69.61919504643963,323
365,toms-skujins,1991,181.0,70.57281553398059,515
366,robert-kiserlovski,1986,180.0,72.43478260869566,92
367,remi-cavagna,1995,186.0,77.40287769784173,139
368,rene-weissinger,1978,184.0,71.76136363636364,88
369,txomin-juaristi,1995,182.0,64.31566820276498,434
370,mikel-iturria,1992,185.0,76.90680100755668,397
372,anthony-turgis,1994,178.0,65.02429149797571,247
375,simone-cadamuro,1976,185.0,77.88739946380697,373
376,ander-okamika,1993,190.0,82.82530120481928,166
378,michael-albasini,1980,172.0,103.7929515418502,227
379,christophe-masson,1985,181.0,76.07751937984496,258
380,kevin-de-weert,1982,182.0,96.4956896551724,232
381,mike-terpstra,1987,189.0,72.92134831460675,89
382,andreas-stokbro,1997,183.0,45.190298507462686,268
383,roberto-pagnin,1962,178.0,83.24223602484471,161
385,romain-bardet,1990,185.0,113.55096418732782,363
386,xavier-florencio,1979,173.0,71.12844036697248,109
387,julen-irizar,1995,178.0,106.65,40
391,paniego-fuentes,1996,190.0,88.75,76
393,mikel-astarloza,1979,185.0,50.85054347826087,368
395,fredrik-ludvigsson,1994,189.0,92.06976744186046,387
397,chris-anker-sorensen,1984,185.0,75.61507936507937,252
398,egoitz-garcia,1986,180.0,71.55592105263158,304
399,garikoitz-bravo,1989,174.0,72.90391459074733,281
400,gerben-lowik,1977,188.0,52.49240121580547,329
401,romain-sicard,1988,179.0,87.56395348837209,172
403,ronan-van-zandbeek,1988,184.0,41.36503067484663,326
404,jordi-simon,1990,177.0,55.07256637168142,565
405,amaro-manuel-antunes,1990,173.0,33.77902621722846,534
406,reto-bergmann,1976,183.0,50.85054347826087,368
408,giovanni-lonardi,1996,180.0,71.13157894736842,228
410,jelle-nijdam,1963,183.0,54.36293436293436,518
413,serhiy-honchar,1970,177.0,71.25,304
415,alex-molenaar,1999,184.0,50.51592356687898,628
