birth_year,nationality,BMI,Cluster,Distance_to_Centroid
1980.0,France,19.71332152761536,4,1.019124432709434
1996.0,Switzerland,21.06674327300584,3,1.0211399058249415
1993.0,Belgium,22.47120876377142,5,0.927847372420542
1949.0,France,20.428357113217785,1,1.9066957728140803
1998.0,Great Britain,21.29629629629629,3,1.1024125253200574
1985.0,Belgium,19.94459833795014,4,1.1219693186524247
1996.0,Australia,18.699780861943022,2,1.098782611769597
1988.0,Italy,21.952479338842977,5,0.9323079052118838
1988.0,Australia,21.604938271604937,5,1.0746825767299382
1985.0,Netherlands,20.83276225980648,4,1.158932286088254
1974.0,Colombia,20.515086478979924,4,1.1169121242902245
1973.0,Slovakia,19.927728770326283,4,1.2081236304078262
1997.0,Canada,19.130619619513237,2,1.078602136386496
1992.0,Spain,21.877551020408163,5,1.0212909746159
1986.0,France,22.948115744558788,5,1.1396033130240084
1992.0,Slovenia,20.9572742022715,3,1.045345714120428
1976.0,Ireland,20.08506616257089,4,1.0997464861900288
1995.0,Belgium,23.03875236294896,5,1.166534151189203
1980.0,Russia,20.603780345785182,4,1.0435967172652487
1962.0,Spain,21.564544913741823,0,1.2507948113128615
1933.0,Belgium,23.04002019946976,1,1.7131907894444884
1977.0,France,22.34029706557179,0,1.0286663052293972
1988.0,Slovakia,20.58966513197403,3,1.1629725458384366
1993.0,Switzerland,22.28247738194314,5,1.0500105671690494
1978.0,Australia,21.606648199445985,0,1.1348994983693104
2000.0,Ethiopia,21.33194588969823,3,1.1881626119626296
1988.0,Netherlands,23.37472607742878,6,1.0910330398731096
1998.0,Italy,22.21074380165289,5,1.1260996532732446
1998.0,Switzerland,20.775623268698062,3,1.0393057782839812
1983.0,Netherlands,20.603780345785182,4,1.064043254484324
1987.0,Italy,20.91070815517618,3,1.0918946636632216
1998.0,France,22.724403484408533,5,1.2074225341896632
1965.0,Belgium,20.97117202268431,0,1.3002847203542125
1967.0,Italy,21.678806798473808,0,0.9880994250105827
1974.0,Australia,21.97735111870822,0,1.0211231695035723
1999.0,Italy,21.545090797168363,3,1.1253233162521183
1987.0,Australia,19.883853048857468,2,1.2029286958475602
1995.0,France,19.23018222886969,2,0.9422840598407926
1975.0,France,23.057725694444446,0,1.2597749873645376
1945.0,Belgium,22.34029706557179,1,0.9910467814219113
1987.0,Italy,21.38394199605733,5,1.0876106660049774
1972.0,Germany,20.37120869171571,4,1.1710781149970149
1998.0,Belgium,21.84700852033332,5,1.098785927778986
1979.0,Ukraine,22.724403484408533,0,1.3166015899168737
1972.0,Austria,20.04744562130375,4,1.2098976374513526
1997.0,Poland,20.75638716766888,3,1.0306214534768345
1992.0,Italy,19.37919743392696,2,0.9259526245265141
1987.0,New Zealand,22.20333872426743,5,1.0560716314332916
1997.0,Canada,19.413326821525597,2,1.0832550371202923
1983.0,France,21.53490839861428,5,1.1537221270535984
1962.0,France,21.0372534696859,0,1.3685005949280882
1989.0,Great Britain,20.811654526534856,3,1.0899029903844104
1994.0,France,21.29629629629629,3,0.9650589152715094
1999.0,Slovakia,22.1606648199446,5,1.2722434723952314
1994.0,France,21.612811791383223,5,1.0385984394256256
2001.0,Great Britain,19.607156612163443,2,1.21552475177613
1960.0,Austria,22.052190183434128,1,1.3408095964407702
1983.0,Denmark,21.45328719723184,5,1.2621782391566134
1978.0,Estonia,22.53061224489796,0,1.233320822726843
1993.0,Italy,20.380434782608692,3,0.9725012755852891
1991.0,France,18.21493624772313,2,1.206930362874189
1999.0,Switzerland,22.03449905482041,5,1.256239614353125
1984.0,Belarus,23.243801652892564,6,1.1278893461879356
1988.0,Belgium,19.80251736111111,2,1.1205087977841734
1987.0,Germany,21.798202394816204,5,1.0479472724749053
1987.0,Portugal,20.41522491349481,3,1.2054302822095702
1959.0,Belgium,21.7335354170837,1,1.2500084646692566
1989.0,Russia,22.40817898532965,5,1.0253912877977502
1995.0,Denmark,20.66481994459834,3,1.0123559765931773
1985.0,Switzerland,22.408786769347305,5,1.1089468044721267
1986.0,Lithuania,23.62948960302457,6,1.053108095446583
1989.0,Austria,22.1606648199446,5,1.032092168674387
1994.0,Netherlands,22.31905622276544,5,1.0439074433552131
1982.0,United States,20.04744562130375,4,1.0905837440479316
1980.0,Poland,22.587833094227893,0,1.3104781012305906
1975.0,Spain,20.983987603305785,4,1.0052909813674986
1996.0,Belgium,20.86111966075032,3,0.9557966783328156
1991.0,Australia,22.03840115928028,5,0.9981978287844843
1993.0,Netherlands,19.80534178361249,2,1.059961265234201
1983.0,France,22.03840115928028,5,1.0707990016871458
1996.0,Venezuela,20.983987603305785,3,1.0471410256372968
1986.0,Spain,19.918367346938776,4,1.0704292291442872
1970.0,Belgium,21.56190926275992,0,0.9898651366329141
1975.0,Russia,22.530864197530864,0,1.1506757274546129
1973.0,Italy,21.146319909102385,0,1.0411476328557614
2000.0,Germany,20.75638716766888,3,1.0948596373440667
1975.0,Italy,20.381569714992143,4,0.9614515283927277
1993.0,France,20.45114617990904,3,0.9426075222511808
1984.0,Belgium,21.71662331759299,5,1.026124158590659
1993.0,Netherlands,21.05263157894737,3,0.9844850621363352
