_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
bernard-bourreau,Bernard  Bourreau,1951,164.0,France,57.13333333333333,45,23.423557406305775,Europe
volker-ordowski,Volker  Ordowski,1973,170.0,Germany,62.58974358974359,78,20.41522491349481,Europe
andrea-fedi,Andrea  Fedi,1991,184.0,Italy,56.98571428571429,70,20.6758034026465,Europe
piotr-przydzial,Piotr  Przydział,1974,186.0,Poland,38.8942731277533,227,23.12406058503873,Europe
alessandro-vanotti,Alessandro  Vanotti,1980,185.0,Italy,52.544642857142854,112,20.45288531775018,Europe
anthony-perez,Anthony  Perez,1991,190.0,France,43.28735632183908,87,19.390581717451525,Europe
morten-hulgaard,Morten  Hulgaard,1998,181.0,Denmark,38.38509316770186,161,22.282592106468055,Europe
andreas-dietziker,Andreas  Dietziker,1982,179.0,Switzerland,36.455414012738856,314,20.91070815517618,Europe
thomas-gloag,Thomas  Gloag,2001,181.0,Great Britain,21.67032967032967,91,18.314459265590184,Europe
mario-scirea,Mario  Scirea,1964,193.0,Italy,44.723076923076924,130,21.47708663319821,Europe
walter-beneteau,Walter  Bénéteau,1972,175.0,France,56.576470588235296,85,21.877551020408163,Europe
corrado-serina,Corrado  Serina,1975,180.0,Italy,26.333333333333332,54,22.530864197530864,Europe
cedric-beullens,Cedric  Beullens,1997,190.0,Belgium,44.62068965517241,203,21.883656509695292,Europe
egor-silin,Egor  Silin,1988,177.0,Russia,52.904458598726116,157,19.4707778735357,Europe
stephane-berges,Stéphane  Bergès,1975,181.0,France,48.34931506849315,146,20.756387167668876,Europe
andrew-fenn,Andrew  Fenn,1990,186.0,Great Britain,55.745098039215684,51,22.835009827725745,Europe
remigius-lupeikis,Remigius  Lupeikis,1964,182.0,Lithuania,68.00970873786407,103,24.151672503320853,Europe
jens-wallays,Jens  Wallays,1992,176.0,Belgium,65.04347826086956,23,20.66115702479339,Europe
mads-pedersen,Mads  Pedersen,1995,180.0,Denmark,29.10576923076923,104,21.604938271604937,Europe
jose-herrada,José  Herrada,1985,175.0,Spain,43.10144927536232,69,21.224489795918366,Europe
idar-andersen,Idar  Andersen,1999,182.0,Norway,36.604166666666664,48,20.589300809081028,Europe
sylvain-moniquet,Sylvain  Moniquet,1998,175.0,Belgium,67.42105263157895,19,19.918367346938776,Europe
pedro-miguel-lopes,Pedro Miguel  Lopes,1999,180.0,Portugal,58.82666666666667,75,20.98765432098765,Europe
adriano-baffi,Adriano  Baffi,1962,176.0,Italy,41.333333333333336,30,22.59814049586777,Europe
thibau-nys,Thibau  Nys,2002,176.0,Belgium,25.06741573033708,178,20.66115702479339,Europe
gert-steegmans,Gert  Steegmans,1980,190.0,Belgium,56.17669172932331,266,22.714681440443215,Europe
marco-haller,Marco  Haller,1991,178.0,Austria,59.018957345971565,211,22.724403484408533,Europe
matthew-holmes,Matthew  Holmes,1993,178.0,Great Britain,69.91176470588235,34,21.146319909102385,Europe
moreno-hofland,Moreno  Hofland,1991,179.0,Netherlands,71.17241379310344,58,22.15910864205237,Europe
jos-van-emden,Jos van Emden,1985,186.0,Netherlands,74.47826086956522,23,22.54595907041276,Europe
juan-ayuso-pesquera,Juan  Ayuso,2002,183.0,Spain,56.625,16,19.409358296754156,Europe
jorge-azanza,Jorge  Azanza,1982,185.0,Spain,59.1764705882353,34,19.86851716581446,Europe
peter-mazur,Peter  Mazur,1982,177.0,Poland,69.36538461538461,104,23.301094832264035,Europe
alberto-minetti,Alberto  Minetti,1957,181.0,Italy,53.06060606060606,33,21.06162815542871,Europe
santiago-perez,Santiago  Pérez,1977,179.0,Spain,71.32967032967034,91,19.038107424861895,Europe
