_url,stage,race,date,points,length,climb_total,profile,startlist_quality,year
dauphine/1990/stage-6,stage-6,dauphine,1990-06-04,50,209000,,,637,1990
dauphine/1990/stage-7,stage-7,dauphine,1990-06-05,50,177500,,,637,1990
dauphine/1990/stage-8,stage-8,dauphine,1990-06-06,50,37800,,,637,1990
dauphine/1991/prologue,prologue,dauphine,1991-06-03,50,10000,,,830,1991
dauphine/1991/stage-1,stage-1,dauphine,1991-06-04,50,153000,,,830,1991
dauphine/1991/stage-2,stage-2,dauphine,1991-06-05,50,222000,,,830,1991
dauphine/1991/stage-3,stage-3,dauphine,1991-06-03,50,184000,,,830,1991
dauphine/1991/stage-4,stage-4,dauphine,1991-06-07,50,186500,,,830,1991
dauphine/1991/stage-5,stage-5,dauphine,1991-06-08,50,155000,,,830,1991
dauphine/1991/stage-6,stage-6,dauphine,1991-06-09,50,158000,,,830,1991
dauphine/1991/stage-7,stage-7,dauphine,1991-06-10,50,33000,,,830,1991
dauphine/1992/stage-1,stage-1,dauphine,1992-06-01,50,147800,,,492,1992
dauphine/1992/stage-2,stage-2,dauphine,1992-06-02,50,206000,,,492,1992
dauphine/1992/stage-3,stage-3,dauphine,1992-06-03,50,176000,,,492,1992
dauphine/1992/stage-4,stage-4,dauphine,1992-06-04,50,164000,,,492,1992
dauphine/1992/stage-5,stage-5,dauphine,1992-06-05,50,190000,,,492,1992
dauphine/1992/stage-6,stage-6,dauphine,1992-06-06,50,204000,,,492,1992
dauphine/1992/stage-7,stage-7,dauphine,1992-06-07,50,177000,,,492,1992
dauphine/1992/stage-8,stage-8,dauphine,1992-06-08,50,32500,,,492,1992
dauphine/1993/prologue,prologue,dauphine,1993-05-31,50,4000,,,386,1993
dauphine/1993/stage-1,stage-1,dauphine,1993-06-01,50,188000,,,386,1993
dauphine/1993/stage-2,stage-2,dauphine,1993-06-02,50,162000,,,386,1993
dauphine/1993/stage-3,stage-3,dauphine,1993-06-03,50,43000,,,386,1993
dauphine/1993/stage-5,stage-5,dauphine,1993-06-05,50,192000,,,386,1993
dauphine/1993/stage-6,stage-6,dauphine,1993-06-06,50,200000,,,386,1993
dauphine/1993/stage-7,stage-7,dauphine,1993-06-07,50,140000,,,386,1993
dauphine/1994/prologue,prologue,dauphine,1994-05-30,50,6700,,,362,1994
dauphine/1994/stage-1,stage-1,dauphine,1994-05-31,50,224000,,,362,1994
dauphine/1994/stage-2,stage-2,dauphine,1994-06-01,50,208000,,,362,1994
dauphine/1994/stage-3,stage-3,dauphine,1994-06-02,50,38000,,,362,1994
dauphine/1994/stage-4,stage-4,dauphine,1994-06-03,50,196000,,,362,1994
dauphine/1994/stage-5,stage-5,dauphine,1994-06-04,50,173000,,,362,1994
dauphine/1994/stage-6,stage-6,dauphine,1994-06-05,50,203000,,,362,1994
dauphine/1994/stage-7,stage-7,dauphine,1994-06-06,50,157000,,,362,1994
dauphine/1995/prologue,prologue,dauphine,1995-06-04,50,6700,,,479,1995
dauphine/1998/stage-1,stage-1,dauphine,1998-06-08,50,190000,,,721,1998
dauphine/2000/prologue,prologue,dauphine,2000-06-04,50,3600,,,494,2000
dauphine/2000/stage-1,stage-1,dauphine,2000-06-05,50,189000,,,494,2000
dauphine/2000/stage-2,stage-2,dauphine,2000-06-06,50,210000,,,494,2000
dauphine/2000/stage-3,stage-3,dauphine,2000-06-07,50,35700,,,494,2000
dauphine/2000/stage-4,stage-4,dauphine,2000-06-08,50,159000,,,494,2000
dauphine/2000/stage-5,stage-5,dauphine,2000-06-09,50,201000,,,494,2000
dauphine/2000/stage-6,stage-6,dauphine,2000-06-10,50,218000,,,494,2000
dauphine/2000/stage-7,stage-7,dauphine,2000-06-11,50,147000,,,494,2000
dauphine/2001/prologue,prologue,dauphine,2001-06-10,50,4000,,,442,2001
dauphine/2001/stage-1,stage-1,dauphine,2001-06-11,50,227000,,,442,2001
dauphine/2001/stage-2,stage-2,dauphine,2001-06-12,50,170000,,,442,2001
dauphine/2001/stage-3,stage-3,dauphine,2001-06-13,50,184000,,,442,2001
dauphine/2001/stage-4,stage-4,dauphine,2001-06-14,50,43000,,,442,2001
dauphine/2001/stage-5,stage-5,dauphine,2001-06-15,50,151000,,,442,2001
dauphine/2001/stage-6,stage-6,dauphine,2001-06-16,50,193000,,,442,2001
dauphine/2001/stage-7,stage-7,dauphine,2001-06-17,50,125000,,,442,2001
dauphine/2002/prologue,prologue,dauphine,2002-06-09,50,3600,,,602,2002
dauphine/2002/stage-1,stage-1,dauphine,2002-06-10,50,173000,,,602,2002
dauphine/2002/stage-2,stage-2,dauphine,2002-06-11,50,174000,,,602,2002
dauphine/2002/stage-3,stage-3,dauphine,2002-06-12,50,41000,,,602,2002
dauphine/2002/stage-4,stage-4,dauphine,2002-06-13,50,209000,,,602,2002
dauphine/2002/stage-5,stage-5,dauphine,2002-06-14,50,204000,,,602,2002
dauphine/2002/stage-6,stage-6,dauphine,2002-06-15,50,146000,,,602,2002
dauphine/2002/stage-7,stage-7,dauphine,2002-06-16,50,150000,,,602,2002
dauphine/2003/prologue,prologue,dauphine,2003-06-08,50,5100,,,572,2003
dauphine/2003/stage-1,stage-1,dauphine,2003-06-09,50,198000,,,572,2003
dauphine/2003/stage-2,stage-2,dauphine,2003-06-10,50,195000,,,572,2003
dauphine/2003/stage-3,stage-3,dauphine,2003-06-11,50,33400,,,572,2003
dauphine/2003/stage-4,stage-4,dauphine,2003-06-12,50,237000,,,572,2003
dauphine/2003/stage-5,stage-5,dauphine,2003-06-13,50,192000,,,572,2003
dauphine/2003/stage-6,stage-6,dauphine,2003-06-14,50,153000,,,572,2003
dauphine/2003/stage-7,stage-7,dauphine,2003-06-15,50,174000,,,572,2003
dauphine/2004/prologue,prologue,dauphine,2004-06-06,50,5400,,,737,2004
dauphine/2004/stage-1,stage-1,dauphine,2004-06-07,50,231000,,,737,2004
dauphine/2004/stage-2,stage-2,dauphine,2004-06-08,50,181000,,,737,2004
dauphine/2004/stage-3,stage-3,dauphine,2004-06-09,50,180000,,,737,2004
dauphine/2004/stage-4,stage-4,dauphine,2004-06-10,50,21600,,,737,2004
dauphine/2004/stage-5,stage-5,dauphine,2004-06-11,50,149000,,,737,2004
dauphine/2004/stage-6,stage-6,dauphine,2004-06-12,50,144000,,,737,2004
dauphine/2004/stage-7,stage-7,dauphine,2004-06-13,50,200000,,,737,2004
dauphine/2005/prologue,prologue,dauphine,2005-06-05,30,7900,,,933,2005
