_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
francisco-leon,Francisco  León,1973.0,,Spain,41.174311926605505,109,,Europe
rein-taaramae,Rein  Taaramäe,1987.0,186.0,Estonia,66.79503105590062,161,19.65545149728292,Europe
anselmo-fuerte-abelenda,Anselmo  Fuerte,1962.0,,Spain,47.06278713629403,653,,Europe
sebastien-chavanel,Sébastien  Chavanel,1981.0,183.0,France,71.94818652849742,386,22.99262444384723,Europe
andrei-nechita,Andrei  Nechita,1988.0,183.0,Romania,78.36123348017621,227,21.20099137030069,Europe
tadej-pogacar,Tadej  Pogačar,1998.0,176.0,Slovenia,64.1219512195122,451,21.306818181818183,Europe
jay-sweet,Jay  Sweet,1975.0,175.0,Australia,43.69107551487414,437,22.53061224489796,Oceania
nic-hamilton,Nic  Hamilton,1986.0,,Canada,52.260475651189125,883,,North America
enrico-barbin,Enrico  Barbin,1990.0,166.0,Italy,49.84126984126984,567,21.773842357381334,Europe
alain-van-den-bossche,Alain Van Den Bossche,1965.0,,Belgium,54.953271028037385,321,,Europe
mario-de-sarraga,Mario de Sárraga,1980.0,178.8,Spain,44.64009111617312,439,21.583111871837602,Europe
hubert-arbes,Hubert  Arbès,1950.0,,France,53.987096774193546,155,,Europe
kevin-seeldraeyers,Kevin  Seeldraeyers,1986.0,174.0,Belgium,65.94299674267101,614,19.817677368212443,Europe
peter-van-de-knoop,Peter Van De Knoop,1957.0,,Netherlands,31.34423076923077,520,,Europe
daniele-righi,Daniele  Righi,1976.0,180.0,Italy,50.44976076555024,627,21.604938271604937,Europe
felix-gall,Felix  Gall,1998.0,180.0,Austria,68.83286908077994,359,20.37037037037037,Europe
jordi-meeus,Jordi  Meeus,1998.0,190.0,Belgium,33.61818181818182,660,22.1606648199446,Europe
louis-de-koning,Louis de Koning,1967.0,,Netherlands,54.82692307692308,468,,Europe
harm-ottenbros,Harm  Ottenbros,1943.0,,Netherlands,74.40816326530613,147,,Europe
stephan-joho,Stephan  Joho,1963.0,,Switzerland,47.477093206951025,633,,Europe
andre-carvalho,Andre  Carvalho,1997.0,181.0,Portugal,25.998355263157894,608,20.1459051921492,Europe
miroslav-uryga,Miroslav  Uryga,1962.0,,Poland,61.017361111111114,288,,Europe
luis-ricardo-mesa-saavedra,Luis Ricardo  Mesa,1973.0,,Colombia,42.7359413202934,409,,South America
joseba-lopez-cuesta,Joseba  López,2000.0,182.0,Spain,61.71848739495798,238,19.925129815239703,Europe
marco-villa,Marco  Villa,1969.0,,Italy,51.68589743589744,312,,Europe
jacques-jolidon,Jacques  Jolidon,1969.0,,Switzerland,46.94620253164557,316,,Europe
dirk-wayenberg,Dirk  Wayenberg,1955.0,,Belgium,88.31981981981981,222,,Europe
emils-liepins,Emīls  Liepiņš,1992.0,175.0,Latvia,49.188081936685286,537,21.877551020408163,Europe
jose-salvador-sanchis,José Salvador  Sanchis,1963.0,,Spain,44.470483005366724,559,,Europe
giulio-tomi,Giulio  Tomi,1978.0,,Italy,74.46402877697842,556,,Europe
vladimir-karpets,Vladimir  Karpets,1980.0,190.0,Russia,59.59101123595506,445,21.883656509695292,Europe
tom-wirtgen,Tom  Wirtgen,1996.0,190.0,Luxembourg,74.97053726169844,577,21.329639889196677,Europe
eric-berthou,Eric  Berthou,1980.0,187.0,France,79.45806451612903,155,20.58966513197403,Europe
martin-emilio-rodriguez,Martín Emilio  Rodríguez,1942.0,178.0,Colombia,63.40384615384615,364,22.093170054286073,South America
claudio-cerri,Claudio  Cerri,1960.0,,Italy,47.19483870967742,775,,Europe
benoit-joachim,Benoît  Joachim,1976.0,188.0,Luxembourg,77.6890243902439,328,23.20054323223178,Europe
salvatore-scamardella,Salvatore  Scamardella,1979.0,,Italy,94.8132118451025,439,,Europe
florian-guillou,Florian  Guillou,1982.0,195.0,France,80.51386623164764,613,18.671926364234057,Europe
david-munoz,David  Muñoz,1979.0,,Spain,70.57281553398059,515,,Europe
jos-de-schoenmaecker,Jos De Schoenmaecker,1947.0,,Belgium,72.52695652173914,575,,Europe
andre-dierickx,André  Dierickx,1947.0,180.0,Belgium,69.42897727272727,352,22.839506172839506,Europe
claude-criquielion,Claude  Criquielion,1957.0,,Belgium,67.83737517831669,701,,Europe
stef-clement,Stef  Clement,1982.0,181.0,Netherlands,73.86348122866895,293,20.1459051921492,Europe
gosta-pettersson,Gösta  Pettersson,1940.0,189.0,Sweden,77.2525,400,20.99605274208449,Europe
silvano-lorenzon,Silvano  Lorenzon,1964.0,,Italy,24.28980891719745,942,,Europe
koen-beeckman,Koen  Beeckman,1973.0,177.0,Belgium,73.73885350318471,314,21.06674327300584,Europe
roberto-torres,Roberto  Torres,1964.0,,Spain,72.19027484143763,473,,Europe
darren-lill,Darren  Lill,1982.0,,South Africa,106.44357976653697,257,,Africa
claudio-camin,Claudio  Camin,1970.0,,Italy,63.654296875,512,,Europe
kurt-verleden,Kurt  Verleden,1963.0,,Belgium,76.78947368421052,418,,Europe
